 ALLOGENEIC BONE MARROW TRANSPLANT,14,DRG,,,,,,,INPATIENT,,,807583.2,323033.28,LIFESOURCE,LIFESOURCE COMM,Commercial,305340,,DRG GROUPER,,,,0,368643.54,3872876.38,OTHER,DRG GROUPER,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VENLAFAXINE 50 MG TABS 100 EACH BOTTLE,,,637,RC,RXRx57664039488,CDM,57664-394-88,NDC,BOTH,50,ME,10.31,4.124,FIRSTCHOICE,FIRST CHOICE HIGH PERFORMANCE NETWORK,,7.22,70,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VENLAFAXINE 50 MG TABS 100 EACH BOTTLE,,,637,RC,RXRx57664039488,CDM,57664-394-88,NDC,BOTH,50,ME,10.31,4.124,FIRSTHEALTH,FIRST HEALTH NETWORK,,8.25,80,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VENLAFAXINE 50 MG TABS 100 EACH BOTTLE,,,637,RC,RXRx68382002001,CDM,68382-020-01,NDC,BOTH,50,ME,10.31,4.124,FIRSTCHOICE-HUM,FIRST CHOICE- HUMANA,,7.22,70,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VENLAFAXINE 75 MG CP24 100 EACH BOX,,,637,RC,RXRx68084070901,CDM,68084-709-01,NDC,BOTH,75,ME,20.99,8.396,AMBETTER,INSURANCE EXCHANGE BY MAGNOLIA,,11.54,55,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VENLAFAXINE 75 MG TABS 100 EACH BOX,,,637,RC,RXRx68084085601,CDM,68084-856-01,NDC,BOTH,75,ME,10.93,4.372,MOLINA_EXCHANGE,MOLINA MARKETPLACE,,4.37,40,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VENT MGMT INPAT SUBQ DAY,94003,HCPCS,410,RC,4100023,CDM,,,OUTPATIENT,,,1244,497.6,MEDICARE,MEDICARE,,557.78,,APC,643.83,9.528,1244,1 THROUGH 10,124.8,1394.44,OTHER,APC,
VERAPAMIL 120 MG TAB CR 100 EACH BOTTLE,,,637,RC,RXRx68462029201,CDM,68462-292-01,NDC,BOTH,120,ME,5.37,2.148,MPCN,MS PHYSICIAN CARE NETWORK,,2.69,50,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VERAPAMIL 120 MG TAB CR 100 EACH BOTTLE,,,637,RC,RXRx75834032001,CDM,75834-320-01,NDC,BOTH,120,ME,5.37,2.148,UNITED,UNITED HEALTHCARE- NON OPTIONS,,4.01,74.6,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VERAPAMIL 120 MG TABS 100 EACH BOTTLE,,,637,RC,RXRx23155048601,CDM,23155-486-01,NDC,BOTH,120,ME,3,1.2,AMBETTER,INSURANCE EXCHANGE BY MAGNOLIA,,1.65,55,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VERAPAMIL 2.5 MG/ML SOLN 2 ML VIAL,,,250,RC,RXRx70710164305,CDM,70710-1643-5,NDC,BOTH,2,ML,62.5,25,ADVHEALTH,STATE OF MS BLUE CROSS,,46.88,75,PERCENT OF BILLED CHARGES,,,,0,0.01,113224.21,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VERAPAMIL 2.5 MG/ML SOLN 2 ML VIAL,,,250,RC,RXRx70710164307,CDM,70710-1643-7,NDC,BOTH,2,ML,62.5,25,UNITED,UNITED HEALTHCARE- NON OPTIONS,,46.63,74.6,PERCENT OF BILLED CHARGES,,,,0,0.01,113224.21,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VERAPAMIL 240 MG TAB CR 100 EACH BOTTLE,,,637,RC,RXRx75834015901,CDM,75834-159-01,NDC,BOTH,240,ME,8.18,3.272,AMBETTER,INSURANCE EXCHANGE BY MAGNOLIA,,4.5,55,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VERAPAMIL 50 MG/ML SUSP 1 ML SYRINGE,,,250,RC,RXRx08888014101,CDM,8888-0141-01,NDC,BOTH,1,ML,4.9,1.96,PPOPLUS,PPOPLUS (ZELIS NETWORK SOLUTIONS),,3.82,78,PERCENT OF BILLED CHARGES,,,,0,0.01,113224.21,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VERTEPORFIN 15 MG SOLR 1 EACH VIAL,J3396,HCPCS,636,RC,RXRx00187560015,CDM,0187-5600-15,NDC,BOTH,15,ME,8616.93,3446.772,MEDADV_HUMANA,HUMANA MEDICARE ADVANTAGE,,12,,APC,,,,0,10.26,7755.24,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VERTEPORFIN 15 MG SOLR 1 EACH VIAL,J3396,HCPCS,636,RC,RXRx00187560015,CDM,0187-5600-15,NDC,BOTH,15,ME,8616.93,3446.772,WELLCARE,WELLCARE MEDICARE ADVANTAGE,,11.89,,APC,,,,0,10.26,7755.24,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VERTPLASTY CEMEN CANNULA,,,272,RC,3203423,CDM,,,OUTPATIENT,,,180,72,FIRSTCHOICE,FIRST CHOICE HIGH PERFORMANCE NETWORK,,126,70,PERCENT OF BILLED CHARGES,,,,0,16.8,46350,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VERTPLASTY CEMEN CANNULA,,,272,RC,3203423,CDM,,,OUTPATIENT,,,180,72,HEALTHLINK_TUPELO,NORTH MISSISSIPPI HEALTH LINK,,153,85,PERCENT OF BILLED CHARGES,,,,0,16.8,46350,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VIDEO HEAD IMPULSE TEST,92700,HCPCS,471,RC,4710040,CDM,,,OUTPATIENT,,,63,25.2,MEDADV_HUMANA,HUMANA MEDICARE ADVANTAGE,,27.16,,APC,,,,0,19.23,65.28,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VIDEO HEAD IMPULSE TEST,92700,HCPCS,471,RC,4710040,CDM,,,OUTPATIENT,,,63,25.2,MULTIPLAN,MULTIPLAN,,50.4,80,PERCENT OF BILLED CHARGES,,,,0,19.23,65.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VINBLASTINE 1 MG/ML SOLN 10 ML VIAL,J9360,HCPCS,636,RC,RXRx63323027810,CDM,63323-278-10,NDC,BOTH,10,ML,322.55,129.02,CIGNA,CIGNA COMMERCIAL,,6.89,,FEE SCHEDULE,,,,0,6.89,290.3,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VINORELBINE TARTRATE 50 MG/5ML SOLN 5 ML VIAL,J9390,HCPCS,636,RC,RXRx25021020405,CDM,25021-204-05,NDC,BOTH,5,ML,540,216,FIRSTCHOICE-HUM,FIRST CHOICE- HUMANA,,378,70,PERCENT OF BILLED CHARGES,,,,0,9.98,486,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VINORELBINE TARTRATE 50 MG/5ML SOLN 5 ML VIAL,J9390,HCPCS,636,RC,RXRx25021020405,CDM,25021-204-05,NDC,BOTH,5,ML,540,216,MOLINA_EXCHANGE,MOLINA MARKETPLACE,,216,40,PERCENT OF BILLED CHARGES,,,,0,9.98,486,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VITAMIN A 15 MG/ML SOLN 2 ML VIAL,,,637,RC,RXRx70199002611,CDM,70199-026-11,NDC,BOTH,0.2,ML,396.75,158.7,BCBSMISS,BLUE CROSS OF MS,,297.56,75,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VITAMIN A AND D OINT 113 G TUBE,,,637,RC,RXRx45802039504,CDM,45802-395-04,NDC,BOTH,113,GM,5.93,2.372,FIRSTCHOICE,FIRST CHOICE HIGH PERFORMANCE NETWORK,,4.15,70,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VITAMIN A AND D OINT 113 G TUBE,,,637,RC,RXRx45802039504,CDM,45802-395-04,NDC,BOTH,113,GM,5.93,2.372,PHCS,PHCS NETWORK,,5.34,90,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VITAMIN A AND D OINT 42.5 G TUBE,,,637,RC,RXRx65197040012,CDM,65197-400-12,NDC,BOTH,42.5,GM,4.78,1.912,FIRSTCHOICE-HUM,FIRST CHOICE- HUMANA,,3.35,70,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VITAMIN A AND D OINT 56.7 G TUBE,,,637,RC,RXRx00168003501,CDM,0168-0035-01,NDC,BOTH,56.7,GM,4.85,1.94,FIRSTHEALTH,FIRST HEALTH NETWORK,,3.88,80,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VITAMIN A AND D OINT 56.7 G TUBE,,,637,RC,RXRx00168003501,CDM,0168-0035-01,NDC,BOTH,56.7,GM,4.85,1.94,MULTIPLAN,MULTIPLAN,,3.88,80,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VITAMIN A AND D OINT 56.7 G TUBE,,,637,RC,RXRx00168003501,CDM,0168-0035-01,NDC,BOTH,56.7,GM,4.85,1.94,PRIMEWELL,PRIMEWELL COMMERCIAL/PPACA,,3.88,80,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VITAMIN B-12 100 MCG TABS 100 EACH BOTTLE,,,637,RC,RXRx80681007100,CDM,80681-07100,NDC,BOTH,100,ML,3,1.2,PRIMEWELL,PRIMEWELL COMMERCIAL/PPACA,,2.4,80,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VITAMIN B-12 100 MCG TABS 50 EACH BOX,,,637,RC,RXRx50268085215,CDM,50268-852-15,NDC,BOTH,100,ML,3,1.2,FIRSTCHOICE,FIRST CHOICE HIGH PERFORMANCE NETWORK,,2.1,70,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VITAMIN B-12 1000 MCG TABS 50 EACH BOX,,,259,RC,RXRx50268085515,CDM,50268-855-15,NDC,BOTH,1000,ML,3,1.2,MULTIPLAN,MULTIPLAN,,2.4,80,PERCENT OF BILLED CHARGES,,,,0,0.4,12700.8,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VITAMIN B-12 500 MCG TABS 1 EACH,,,637,RC,RXRx77333093725,CDM,77333-937-25,NDC,BOTH,100,ML,3,1.2,FIRSTHEALTH,FIRST HEALTH NETWORK,,2.4,80,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VNGRPH CHD VNVN CLTRL BELOW,93588,HCPCS,481,RC,4810124,CDM,,,OUTPATIENT,,,3000,1200,HEALTHLINK_TUPELO,NORTH MISSISSIPPI HEALTH LINK,,2550,85,PERCENT OF BILLED CHARGES,,,,0,1200,3000,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VOLTAGE-GTD CA CHNL ANTB EA,86596,HCPCS,300,RC,3005525,CDM,,,OUTPATIENT,,,18,7.2,FIRSTHEALTH,FIRST HEALTH NETWORK,,14.4,80,PERCENT OF BILLED CHARGES,,,,0,10.44,30.13,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VOLTAGE-GTD CA CHNL ANTB EA,86596,HCPCS,300,RC,3005525,CDM,,,OUTPATIENT,,,18,7.2,MPCN,MS PHYSICIAN CARE NETWORK,,18,,APC LAB,,,,0,10.44,30.13,OTHER,APC LAB,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VORICONAZOLE 200 MG SOLR 1 EACH VIAL,J3465,HCPCS,636,RC,RXRx00049319028,CDM,0049-3190-28,NDC,BOTH,200,ME,361.8,144.72,MULTIPLAN,MULTIPLAN,,289.44,80,PERCENT OF BILLED CHARGES,,,,0,1,631.68,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
VORICONAZOLE 200 MG SOLR 1 EACH VIAL,J3465,HCPCS,636,RC,RXRx70594006701,CDM,70594-067-01,NDC,BOTH,200,ME,240,96,MPCN,MS PHYSICIAN CARE NETWORK,,120,50,PERCENT OF BILLED CHARGES,,,,0,1,631.68,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
